path,line,code,role
"lib/game/my_game.dart","385","worldScene?.setObjectOpacity(objId, 0.4);","world placement/shadow (reviewed)"
"lib/game/world_scene.dart","211","void setObjectOpacity(int objId, double opacity) {","world placement/shadow (reviewed)"
"lib/game/world_scene.dart","212","_map?.setObjectOpacity(objId, opacity);","world placement/shadow (reviewed)"
"lib/tools/map_editor/map_canvas.dart","622","opacity: 0.3);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","62","double startBtnDisabledOpacity = 0.50;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","75","double backDisabledOpacity = 0.40;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","103","double spiritRootUnselectedBgOpacity = 0.20;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","104","double spiritRootSelectedBgOpacity = 0.18;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","105","double spiritRootUnselectedBorderOpacity = 0.24;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","107","double spiritRootUnselectedHighlightOpacity = 0.06;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","108","double spiritRootSelectedBorderOpacity = 1.0;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","109","double spiritRootSelectedGlowOpacity = 0.35;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","122","double nameHintOpacity = 0.54;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","130","double genderSectionBgOpacity = 0.30;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","140","double genderUnselectedOverlayOpacity = 0.45;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","141","double genderUnselectedTextOpacity = 0.70;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","176","double statsSectionBgOpacity = 0.35;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_config.dart","198","double statAdjustBtnDisabledOpacity = 0.40;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","121","c.startBtnDisabledOpacity = XmlAttr.d(el, 'disabledOpacity', c.startBtnDisabledOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","136","c.backDisabledOpacity = XmlAttr.d(el, 'disabledOpacity', c.backDisabledOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","173","c.spiritRootUnselectedBgOpacity = XmlAttr.d(el, 'unselectedBgOpacity', c.spiritRootUnselectedBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","174","c.spiritRootSelectedBgOpacity = XmlAttr.d(el, 'selectedBgOpacity', c.spiritRootSelectedBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","175","c.spiritRootUnselectedBorderOpacity = XmlAttr.d(el, 'unselectedBorderOpacity', c.spiritRootUnselectedBorderOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","177","c.spiritRootUnselectedHighlightOpacity = XmlAttr.d(el, 'unselectedHighlightOpacity', c.spiritRootUnselectedHighlightOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","178","c.spiritRootSelectedBorderOpacity = XmlAttr.d(el, 'selectedBorderOpacity', c.spiritRootSelectedBorderOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","179","c.spiritRootSelectedGlowOpacity = XmlAttr.d(el, 'selectedGlowOpacity', c.spiritRootSelectedGlowOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","197","c.nameHintOpacity = XmlAttr.d(el, 'hintOpacity', c.nameHintOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","207","c.genderSectionBgOpacity = XmlAttr.d(el, 'sectionBgOpacity', c.genderSectionBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","217","c.genderUnselectedOverlayOpacity = XmlAttr.d(el, 'unselectedOverlayOpacity', c.genderUnselectedOverlayOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","218","c.genderUnselectedTextOpacity = XmlAttr.d(el, 'unselectedTextOpacity', c.genderUnselectedTextOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","265","c.statsSectionBgOpacity = XmlAttr.d(el, 'sectionBgOpacity', c.statsSectionBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_loader.dart","289","c.statAdjustBtnDisabledOpacity = XmlAttr.d(el, 'adjustBtnDisabledOpacity', c.statAdjustBtnDisabledOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","105","static double get spiritRootUnselectedBgOpacity => _c.spiritRootUnselectedBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","106","static double get spiritRootSelectedBgOpacity => _c.spiritRootSelectedBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","107","static double get spiritRootUnselectedBorderOpacity => _c.spiritRootUnselectedBorderOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","109","static double get spiritRootUnselectedHighlightOpacity => _c.spiritRootUnselectedHighlightOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","110","static double get spiritRootSelectedBorderOpacity => _c.spiritRootSelectedBorderOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","111","static double get spiritRootSelectedGlowOpacity => _c.spiritRootSelectedGlowOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","153","static double get nameHintOpacity => _c.nameHintOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","160","static double get genderSectionBgOpacity => _c.genderSectionBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","171","static double get genderUnselectedOverlayOpacity => _c.genderUnselectedOverlayOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","172","static double get genderUnselectedTextOpacity => _c.genderUnselectedTextOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","210","static double get statsSectionBgOpacity => _c.statsSectionBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","233","static double get statAdjustBtnDisabledOpacity => _c.statAdjustBtnDisabledOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","245","static double get startBtnDisabledOpacity => _c.startBtnDisabledOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_create/char_create_ui_spec.dart","260","static double get backDisabledOpacity => _c.backDisabledOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_config.dart","48","double rightPanelSectionBgOpacity = 0.35;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_config.dart","71","double cardUnselectedBgOpacity = 0.18;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_config.dart","72","double cardSelectedBgOpacity = 0.25;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_config.dart","73","double cardUnselectedBorderOpacity = 0.22;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_config.dart","75","double cardSelectedBorderOpacity = 1.0;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_config.dart","77","double cardSelectedGlowOpacity = 0.35;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_loader.dart","94","c.rightPanelSectionBgOpacity = XmlAttr.d(el, 'sectionBgOpacity', c.rightPanelSectionBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_loader.dart","121","c.cardUnselectedBgOpacity = XmlAttr.d(el, 'unselectedBgOpacity', c.cardUnselectedBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_loader.dart","122","c.cardSelectedBgOpacity = XmlAttr.d(el, 'selectedBgOpacity', c.cardSelectedBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_loader.dart","123","c.cardUnselectedBorderOpacity = XmlAttr.d(el, 'unselectedBorderOpacity', c.cardUnselectedBorderOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_loader.dart","125","c.cardSelectedBorderOpacity = XmlAttr.d(el, 'selectedBorderOpacity', c.cardSelectedBorderOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_loader.dart","127","c.cardSelectedGlowOpacity = XmlAttr.d(el, 'selectedGlowOpacity', c.cardSelectedGlowOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_spec.dart","83","static double get rightPanelSectionBgOpacity => _c.rightPanelSectionBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_spec.dart","113","static double get cardUnselectedBgOpacity => _c.cardUnselectedBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_spec.dart","114","static double get cardSelectedBgOpacity => _c.cardSelectedBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_spec.dart","115","static double get cardUnselectedBorderOpacity => _c.cardUnselectedBorderOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_spec.dart","117","static double get cardSelectedBorderOpacity => _c.cardSelectedBorderOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/char_select/char_select_ui_spec.dart","119","static double get cardSelectedGlowOpacity => _c.cardSelectedGlowOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/account_ui_spec.dart","19","centerOpacity: 0,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/loading_ui_spec.dart","33","this.glowOpacity = 0.55,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/loading_ui_spec.dart","61","final double glowOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/loading_ui_spec.dart","124","glowOpacity:","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/loading_ui_spec.dart","125","bar?.d('glowOpacity', d.glowOpacity, min: 0, max: 1) ?? d.glowOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","28","required this.selectedGlowOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","29","required this.disabledOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","49","final double selectedGlowOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","52","final double disabledOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","75","selectedGlowOpacity: node","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","76",".d('selectedGlowOpacity', fallback.selectedGlowOpacity, min: 0, max: 1),","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","77","disabledOpacity:","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","78","node.d('disabledOpacity', fallback.disabledOpacity, min: 0.1, max: 1),","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","90","centerOpacity: 0,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","123","selectedGlowOpacity: 0,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/specs/server_select_ui_spec.dart","124","disabledOpacity: 0.45,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/ui_xaml_parts.dart","147","required this.centerOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/ui_xaml_parts.dart","154","final double centerOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/ui_xaml_parts.dart","167","centerOpacity:","UI style/state or decorative effect; no global removal"
"lib/ui/layout/xaml/ui_xaml_parts.dart","168","node.d('centerOpacity', fallback.centerOpacity, min: 0, max: 1),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/character_create.dart","239","child: ColoredBox(color: Colors.black.withValues(alpha: 0.35)),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","197","ColoredBox(color: Colors.black.withValues(alpha: 0.35)),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","521","bgColor: Colors.white.withValues(alpha: 0.12),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","536",").withValues(alpha: 0.20),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","539",").withValues(alpha: 0.60),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","555",").withValues(alpha: 0.15),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","558",").withValues(alpha: 0.50),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","612","final opacity = widget.enabled ? 1.0 : 0.45;","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","632","child: Opacity(","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","633","opacity: opacity,","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/character_select.dart","647","color: Colors.white.withValues(alpha: 0.20),","background overlay / buttons (portrait stays outside overlay)"
"lib/ui/screens/decor_panel.dart","113","color: _gold.withValues(alpha: 0.12),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/decor_panel.dart","178","color: active ? on.withValues(alpha: 0.2) : _gold.withValues(alpha: 0.12),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/decor_panel.dart","181","color: active ? on : _gold.withValues(alpha: 0.4)),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/decor_panel.dart","207","? _gold.withValues(alpha: 0.2)","UI style/state or decorative effect; no global removal"
"lib/ui/screens/decor_panel.dart","208",": Colors.white.withValues(alpha: 0.04),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/decor_panel.dart","213",": _gold.withValues(alpha: 0.25),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/decor_panel.dart","277","Border.all(color: _gold.withValues(alpha: 0.4)),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/decor_panel.dart","291","color: _gold.withValues(alpha: 0.22),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","439","colors: [color.withValues(alpha: 0.75), color],","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","481","color: _gold.withValues(alpha: 0.5),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1088","..color = _gold.withValues(alpha: 0.35),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1309","color: Colors.black.withValues(alpha: 0.4),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1614","color: _gold.withValues(alpha: 0.35),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1619","color: Colors.black.withValues(alpha: 0.6),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1636","color: Colors.black.withValues(alpha: 0.55),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1723","color: Colors.white.withValues(alpha: 0.85),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1728","color: _Minimap._portalBlue.withValues(alpha: 0.9),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/game_hud_overlay.dart","1812","color: active ? _gold.withValues(alpha: 0.18) : Colors.transparent,","UI style/state or decorative effect; no global removal"
"lib/ui/screens/gm_panel.dart","124","color: _gold.withValues(alpha: 0.12),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/gm_panel.dart","156","? _gold.withValues(alpha: 0.18)","UI style/state or decorative effect; no global removal"
"lib/ui/screens/gm_panel.dart","224",": _gold.withValues(alpha: 0.14),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/gm_panel.dart","229",": _gold.withValues(alpha: 0.45)),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/gm_panel.dart","342","borderSide: BorderSide(color: _gold.withValues(alpha: 0.3)),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/gm_panel.dart","399","color: Colors.black.withValues(alpha: 0.4),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/gm_panel.dart","401","border: Border.all(color: _gold.withValues(alpha: 0.3)),","UI style/state or decorative effect; no global removal"
"lib/ui/screens/serverlist.dart","157","return Opacity(","UI style/state or decorative effect; no global removal"
"lib/ui/screens/serverlist.dart","158","opacity: status.selectable ? 1.0 : spec.disabledOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/theme/game_ui_styles.dart","40","color: Colors.black.withValues(alpha: 0.85),","UI style/state or decorative effect; no global removal"
"lib/ui/theme/game_ui_styles.dart","46","color: Colors.black.withValues(alpha: 0.85),","UI style/state or decorative effect; no global removal"
"lib/ui/theme/game_ui_styles.dart","62","backgroundColor: Colors.white.withValues(alpha: alpha),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_back_button.dart","25","child: Opacity(","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_back_button.dart","26","opacity: enabled ? 1.0 : CharCreateUiSpec.backDisabledOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_name_bar.dart","77","alpha: CharCreateUiSpec.nameHintOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_start_button.dart","25","child: Opacity(","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_start_button.dart","26","opacity: enabled ? 1.0 : CharCreateUiSpec.startBtnDisabledOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_stat_row.dart","125","child: Opacity(","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_stat_row.dart","126","opacity: enabled ? 1.0 : CharCreateUiSpec.statAdjustBtnDisabledOpacity,","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_create/char_create_text_styles.dart","214","color: color.withValues(alpha: 0.85),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","47","final bgOpacity = selected","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","48","? CharSelectUiSpec.cardSelectedBgOpacity","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","49",": CharSelectUiSpec.cardUnselectedBgOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","51","? attrColor.withValues(alpha: CharSelectUiSpec.cardSelectedBorderOpacity)","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","52",": Colors.white.withValues(alpha: CharSelectUiSpec.cardUnselectedBorderOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","74","? attrColor.withValues(alpha: bgOpacity)","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","75",": Colors.black.withValues(alpha: bgOpacity),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_char_card.dart","152","alpha: CharSelectUiSpec.cardSelectedGlowOpacity),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_info_panel.dart","22","Colors.black.withValues(alpha: CharSelectUiSpec.rightPanelSectionBgOpacity);","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_info_panel.dart","159","backgroundColor: Colors.white.withValues(alpha: 0.12),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/char_select/char_select_info_panel.dart","219","color: Colors.white.withValues(alpha: 0.12),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/context_menu.dart","138","widget.item.danger ? PanelTheme.danger : Colors.white.withValues(alpha: 0.85);","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/energy_loading_bar.dart","108","boxShadow: spec.glowOpacity <= 0 || spec.glowBlur <= 0","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/energy_loading_bar.dart","112","color: spec.glowColor.withValues(alpha: spec.glowOpacity),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/game_image_button.dart","49","color: Colors.white.withValues(alpha: 0.15),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/game_message_dialog.dart","111","color: Colors.black.withValues(alpha: 0.75),","UI style/state or decorative effect; no global removal"
